design,temperature,predicted_power,real_power
ethernet,170,44733.83922851563,41532.86
ss_pcm,170,354.6714083862305,332.39
ac97_ctrl,170,8717.26796508789,8293.35
spi,170,2234.242581176758,2295.43
fpu,170,22649.888264160156,22140.96
tv80,170,5260.361503601074,5364.57
simple_spi,170,590.7512909698487,602.52
usb_phy,170,369.1759124755859,390.26
aes,170,14702.481350708007,14706.55
i2c,170,658.8158652496338,677.76
wb_dma,170,2408.1270759582517,2382.18
pci,170,12520.686015625,12399.97
dynamic_node,170,12566.275279541016,12234.66
sasc,180,538.1253721618652,516.33
des3_area,180,3343.7498553466794,3390.16
ethernet,180,44733.838496093755,47045.43
ss_pcm,180,354.66821929931643,332.39
ac97_ctrl,180,8717.265767822266,8316.5
spi,180,2234.2439544677736,2017.67
fpu,180,22649.887791137695,22353.92
tv80,180,5260.368270874023,5248.25
simple_spi,180,590.7536541748048,624.2
usb_phy,180,369.1775623321533,395.26
aes,180,14702.482495117187,14386.81
i2c,180,658.8153330993653,677.76
wb_dma,180,2408.1268699645993,2395.07
pci,180,12520.682139892579,12372.62
dynamic_node,180,12566.276408691407,12328.18
sasc,190,538.122308959961,531.52
des3_area,190,3343.752983398437,3356.03
ethernet,190,44733.83922851563,43331.79
ss_pcm,190,354.6680419158936,330.17
ac97_ctrl,190,8717.266561279297,8465.66
spi,190,2234.243599700928,2047.52
fpu,190,22649.89879272461,22475.01
tv80,190,5260.364227294922,5281.56
simple_spi,190,590.7500588226319,620.57
usb_phy,190,369.1818367004394,386.53
aes,190,14702.484661865234,14422.22
i2c,190,658.813448638916,692.46
wb_dma,190,2408.1329010009763,2386.91
pci,190,12520.68049194336,12354.58
dynamic_node,190,12566.275340576172,12424.99
sasc,200,538.1228945159912,534.89
des3_area,200,3343.7511180114743,3377.28
ethernet,200,44733.841425781255,43433.01
ss_pcm,200,354.6687705230713,330.17
ac97_ctrl,200,8717.265584716797,8314.58
spi,200,2234.243672180176,2020.93
fpu,200,22649.893681030273,22826.49
tv80,200,5260.36262512207,5249.99
simple_spi,200,590.7513043212891,623.25
usb_phy,200,369.17938003540036,395.54
aes,200,14702.478436279296,14404.38
i2c,200,658.8160597991944,677.45
wb_dma,200,2408.1249740600583,2376.57
pci,200,12520.679469604493,12277.3
dynamic_node,200,12566.28611328125,12359.16
sasc,210,538.1252462768555,533.86
des3_area,210,3343.750770874023,3352.51
ethernet,210,44733.838984375005,47016.66
ss_pcm,210,354.6690718841553,330.17
ac97_ctrl,210,8717.264791259766,8457.36
spi,210,2234.240944671631,2022.29
fpu,210,22649.889713745117,22625.79
tv80,210,5260.3636474609375,5217.31
simple_spi,210,590.7522351074219,604.61
usb_phy,210,369.1852756500244,393.87
aes,210,14702.482739257812,14267.03
i2c,210,658.8147170257569,677.2
wb_dma,210,2408.1266677856443,2532.41
pci,210,12520.680522460938,12422.81
dynamic_node,210,12566.282924194336,12238.47
sasc,220,538.1251146697998,533.14
des3_area,220,3343.749420471191,3362.98
ethernet,220,44733.84069335938,46892.98
ss_pcm,220,354.6676947784424,332.39
ac97_ctrl,220,8717.279714355469,8427.64
spi,220,2234.243229675293,2025.59
fpu,220,22649.890095214843,22538.53
tv80,220,5260.362770080566,5373.98
simple_spi,220,590.7504822540284,621.46
usb_phy,220,369.17775306701657,391.16
aes,220,14702.485836791991,14889.81
i2c,220,658.8147132110596,677.2
wb_dma,220,2408.1287429809568,2347.24
pci,220,12520.693156738282,12467.6
dynamic_node,220,12566.275325317383,12307.29
sasc,230,538.1300337219238,514.8
des3_area,230,3343.751831359863,3411.13
ethernet,230,44733.83922851563,45187.32
ss_pcm,230,354.6698844146729,332.39
ac97_ctrl,230,8717.260762939453,8314.58
spi,230,2234.2434356689455,2087.58
fpu,230,22649.89923522949,22782.7
tv80,230,5260.364440917969,5302.84
simple_spi,230,590.7523400115967,585.17
usb_phy,230,369.17818794250485,395.54
